number,team,matches,wins,draws,loses,goals,ga,points,xG,xGA,xPTS
1,Arsenal,23,15,5,3,42,17,50,46.15.00,19.01,50.18.00
2,Manchester City,23,14,4,5,47,21,46,45.02.00,28.04.00,44.08.00
3,Aston Villa,23,14,4,5,35,25,46,32.39.00,36.03.00,28.32.00
4,Manchester United,23,10,8,5,41,34,38,45.06.00,30.42.00,39.22.00
5,Chelsea,23,10,7,6,39,25,37,45.06.00,35.33.00,36.05.00
6,Liverpool,23,10,6,7,35,32,36,40.24.00,31.13.00,38.14.00
7,Fulham,23,10,4,9,32,32,34,26.47.00,36.4,24.38.00
8,Brentford,23,10,3,10,35,32,33,42.72,32.37.00,13.49
9,Newcastle United,23,9,6,8,32,29,33,38.14.00,26.87,38.44.00
10,Sunderland,23,8,9,6,24,26,33,23.39.00,37.46.00,23.28.00
12,Brighton,23,7,9,7,33,31,30,36.36.00,37.32.00,07.32
13,Bournemouth,23,7,9,7,38,43,30,40.18.00,33.33.00,37.4
14,Tottenham,23,7,7,9,33,31,28,27.8,31.01.00,31.21.00
15,Crystal Palace,23,7,7,9,24,28,28,39.6,36.02.00,33.37.00
17,Nottingham Forest,23,7,4,12,23,34,25,26.12.00,38.4,24.14.00
18,West Ham,23,5,5,13,27,45,20,28.28.00,45.38.00,23.9
19,Burnley,23,3,6,14,25,44,15,22.06,52.03.00,14.21
20,Wolverhampton Wanderers,23,1,5,17,15,43,8,20.3,36.25.00,22.23
11,Everton,22,9,5,8,24,25,32,28.08,35.48,03.24
16,Leeds,22,6,7,9,30,37,25,35.43,31.29.00,09.32
