number;team;matches;wins;draws;loses;goals;ga;points;xG;xGA;xPTS
1;Arsenal;20;15;3;2;40;14;48;41.16.00;17.34;43.14.00
2;Man City;20;13;3;4;44;18;42;41.01.00;23.09;39.35.00
3;Aston Villa;20;13;3;4;33;24;42;27.7;32;24.06.00
4;Liverpool;20;10;4;6;32;28;34;35.09.00;26.17.00;34.22.00
5;Chelsea;20;8;7;5;33;22;31;37.5;30.38.00;30.31.00
6;Man United;20;8;7;5;34;30;31;39.22.00;28.29.00;33.38.00
7;Brentford;20;9;3;8;32;28;30;35.38.00;27.45.00;32.09.00
8;Sunderland;20;7;9;4;21;19;30;19.33;30.26.00;20.41
9;Newcastle;20;8;5;7;28;24;29;32.53.00;23.21;33.38.00
10;Brighton;20;7;7;6;30;27;28;32.09.00;31.13.00;28.11.00
11;Fulham;20;8;4;8;28;29;28;24.02.00;30.23.00;23.39
12;Everton;20;8;4;8;22;24;28;25.21.00;32.19.00;23.46
13;Spurs;20;7;6;7;28;24;27;22.33;25.5;27.16.00
14;Crystal Palace;20;7;6;7;22;23;27;34.7;29.02.00;30.8
15;Bournemouth;20;5;8;7;31;38;23;34.38.00;29.37.00;32.05.00
16;Leeds;20;5;7;8;26;33;22;29.24.00;28.19.00;29.32.00
17;Nott'm Forest;20;5;3;12;19;33;18;23.14;31.8;22.27
18;West Ham;20;3;5;12;21;41;14;21.59;41.34.00;17.51
19;Burnley;20;3;3;14;20;39;12;20.05;43.02.00;13.29
20;Wolves;20;1;3;16;14;40;6;19.06;32.34.00;20.29
